Latency_ms,Packet_Loss_pct,Jitter_ms,Optical_RX_dBm,CRC_Errors,Interface_Status,CPU_Usage_pct,SNMP_Timeout,Hop_Count,Fault_Label,Fault_Category
999.0,100.0,3.9,-36.1,19,0,33.0,0,5,Fiber_Cut,Hardware
999.0,100.0,3.3,-42.5,7,0,21.1,0,2,Fiber_Cut,Hardware
31.8,1.1,6.1,-18.2,16,1,23.2,0,6,Healthy,
21.3,1.9,8.1,-27.1,54,0,56.1,1,4,OLT_Failure,Hardware
152.3,7.2,3.9,-26.2,9,0,31.3,0,4,Transport_Failure_MPLS,Software
231.1,14.5,6.3,-23.2,15,1,63.3,1,5,Congestion,Software
78.6,1.9,5.9,-21.9,13,1,30.7,0,9,Healthy,
73.2,2.0,9.3,-19.6,2,1,57.5,0,8,Healthy,
191.4,12.6,3.6,-18.2,2,1,84.1,0,2,Congestion,Software
197.1,2.8,4.3,-19.5,12,1,58.5,1,5,Transport_Failure_MPLS,Software
53.7,1.7,9.0,-27.7,19,1,27.4,0,9,Healthy,
63.9,2.1,2.6,-24.8,5,1,37.5,0,5,Healthy,
78.1,1.8,6.3,-21.9,0,1,35.3,0,7,Healthy,
318.6,9.2,5.8,-18.4,3,1,52.0,1,6,Congestion,Software
70.4,1.6,4.7,-18.3,6,1,52.6,0,7,Healthy,
187.6,3.8,5.3,-19.3,13,1,32.6,1,4,Transport_Failure_MPLS,Software
72.3,0.8,8.4,-25.8,16,1,45.5,0,5,Healthy,
145.9,8.2,5.4,-21.0,18,0,24.4,1,9,Transport_Failure_MPLS,Software
173.1,3.9,8.9,-25.9,3,1,33.1,1,8,Transport_Failure_MPLS,Software
53.3,0.2,4.0,-19.2,19,1,41.8,0,8,Healthy,
59.9,1.5,6.5,-19.8,13,1,30.0,0,3,Healthy,
294.3,15.0,9.3,-18.6,13,0,85.8,0,4,Congestion,Software
148.5,3.7,8.4,-20.3,9,1,33.9,0,7,Transport_Failure_MPLS,Software
67.4,0.2,3.5,-27.5,69,1,46.1,1,9,OLT_Failure,Hardware
236.1,7.0,5.5,-18.0,5,0,91.2,0,9,Congestion,Software
49.3,2.1,3.3,-23.9,0,1,55.2,0,3,Healthy,
265.9,14.6,8.1,-24.6,11,1,69.9,1,9,Congestion,Software
40.7,1.9,8.4,-18.4,3,1,20.1,0,5,Healthy,
53.9,0.1,2.2,-24.3,5,1,41.5,0,8,Healthy,
92.4,8.0,6.2,-26.5,2,1,44.4,1,2,Transport_Failure_MPLS,Software
52.5,2.3,7.3,-29.9,185,0,25.8,1,9,OLT_Failure,Hardware
29.8,2.0,6.0,-20.9,7,1,26.6,0,5,Healthy,
135.9,7.5,3.3,-24.9,13,1,30.2,0,8,Transport_Failure_MPLS,Software
193.7,7.5,7.2,-18.5,1,1,42.0,1,4,Transport_Failure_MPLS,Software
