Latency_ms,Packet_Loss_pct,Jitter_ms,Optical_RX_dBm,CRC_Errors,Interface_Status,CPU_Usage_pct,SNMP_Timeout,Hop_Count,Fault_Label,Fault_Category
88.0,4.2,2.0,-17.8,1,0,13.4,1,4,Transport_Failure_MPLS,Software
1.8,0.4,2.2,-19.6,2,1,24.4,0,7,Healthy,
1.4,0.4,0.9,-29.9,72,0,20.2,0,2,OLT_Failure,Hardware
10.3,0.3,1.0,-25.9,131,0,30.3,0,8,OLT_Failure,Hardware
135.8,12.1,2.4,-16.8,0,0,66.2,1,6,Congestion,Software
106.8,4.2,2.2,-20.1,2,0,30.8,0,5,Transport_Failure_MPLS,Software
123.4,6.5,0.4,-18.7,1,1,50.6,0,4,Congestion,Software
5.4,0.4,1.5,-16.9,2,1,22.3,0,9,Healthy,
19.6,0.3,1.3,-18.8,4,1,35.2,0,7,Healthy,
27.0,0.5,0.3,-21.3,0,1,14.6,0,6,Healthy,
999.0,100.0,0.5,-44.9,3,0,20.5,1,5,Fiber_Cut,Hardware
150.6,15.3,1.3,-16.8,3,1,44.4,0,5,Congestion,Software
163.5,7.5,2.8,-16.9,1,1,14.9,1,2,Transport_Failure_MPLS,Software
14.3,0.4,1.3,-16.5,0,1,31.2,0,5,Healthy,
19.1,0.1,1.4,-18.6,1,1,26.8,0,4,Healthy,
21.8,0.1,2.7,-16.8,3,1,10.6,0,4,Healthy,
28.2,0.3,1.6,-20.0,4,1,24.6,0,5,Healthy,
27.9,0.5,1.8,-21.5,4,1,32.0,0,8,Healthy,
19.8,0.2,1.5,-21.4,2,1,32.2,0,5,Healthy,
116.4,6.9,1.0,-15.7,0,1,25.6,1,4,Transport_Failure_MPLS,Software
9.3,0.2,2.0,-19.4,1,1,32.5,0,9,Healthy,
14.4,0.1,0.8,-19.2,3,1,35.8,0,9,Healthy,
131.3,2.2,0.5,-15.5,1,1,11.3,1,4,Transport_Failure_MPLS,Software
6.4,0.5,2.1,-15.9,1,1,22.2,0,8,Healthy,
2.3,0.1,2.7,-22.0,80,0,26.0,0,3,OLT_Failure,Hardware
310.9,11.2,0.2,-16.9,4,1,43.0,1,5,Congestion,Software
139.0,7.8,0.9,-21.3,3,1,22.3,1,5,Transport_Failure_MPLS,Software
22.9,0.1,1.5,-20.1,4,1,16.3,0,8,Healthy,
2.5,0.0,2.5,-15.8,3,1,30.0,0,8,Healthy,
84.0,3.9,1.3,-20.7,1,1,18.7,1,2,Transport_Failure_MPLS,Software
121.5,9.2,0.4,-20.6,0,1,56.0,1,5,Congestion,Software
13.5,0.2,1.7,-21.6,3,1,34.6,0,4,Healthy,
999.0,100.0,2.6,-42.2,0,0,13.2,1,4,Fiber_Cut,Hardware
273.5,12.4,0.7,-17.4,1,1,50.3,1,2,Congestion,Software
134.0,6.3,2.8,-15.3,1,0,27.9,1,5,Transport_Failure_MPLS,Software
2.9,0.0,1.3,-23.1,148,0,27.5,1,5,OLT_Failure,Hardware
124.4,9.1,2.9,-18.3,3,0,13.4,0,5,Transport_Failure_MPLS,Software
29.5,0.3,0.9,-30.1,58,0,34.2,0,7,OLT_Failure,Hardware
15.7,0.2,0.2,-27.2,154,0,20.0,1,7,OLT_Failure,Hardware
11.4,0.4,1.6,-15.9,0,1,37.5,0,6,Healthy,
314.9,11.8,1.8,-18.1,3,1,64.1,1,2,Congestion,Software
16.4,0.4,1.2,-17.7,4,1,18.8,0,2,Healthy,
999.0,100.0,1.5,-44.7,2,0,29.7,1,3,Fiber_Cut,Hardware
20.1,0.3,0.0,-15.1,0,1,34.5,0,7,Healthy,
117.1,9.2,1.2,-16.5,3,1,20.5,1,4,Transport_Failure_MPLS,Software
999.0,100.0,0.2,-37.0,0,0,17.5,1,7,Fiber_Cut,Hardware
170.9,14.7,1.8,-21.4,1,1,60.4,1,5,Congestion,Software
26.8,0.5,1.3,-18.8,0,1,27.1,0,6,Healthy,
16.9,0.1,1.7,-15.6,1,1,29.1,0,6,Healthy,
112.4,9.9,2.6,-18.2,1,0,13.9,0,2,Transport_Failure_MPLS,Software
999.0,100.0,0.2,-44.2,3,0,33.8,1,7,Fiber_Cut,Hardware
5.6,0.5,0.1,-21.3,1,1,13.4,0,4,Healthy,
4.3,0.4,1.4,-19.6,1,1,30.5,0,4,Healthy,
133.8,9.3,2.5,-15.1,4,1,14.1,1,9,Transport_Failure_MPLS,Software
17.2,0.1,0.6,-21.2,0,1,40.0,0,8,Healthy,
101.5,6.7,2.0,-20.6,1,1,38.5,1,4,Transport_Failure_MPLS,Software
23.3,0.0,1.8,-17.6,1,1,28.0,0,2,Healthy,
119.7,7.0,0.2,-17.0,0,0,42.9,1,8,Congestion,Software
20.3,0.4,0.6,-21.6,0,1,16.3,0,2,Healthy,
107.8,2.7,2.8,-15.4,4,1,27.7,1,9,Transport_Failure_MPLS,Software
138.7,3.9,0.0,-17.1,4,1,18.6,1,2,Transport_Failure_MPLS,Software
143.6,9.0,0.4,-20.2,0,0,16.3,1,8,Transport_Failure_MPLS,Software
190.4,9.5,0.4,-20.8,4,0,55.4,1,4,Congestion,Software
999.0,100.0,2.5,-44.4,0,0,18.9,0,3,Fiber_Cut,Hardware
999.0,100.0,1.5,-40.0,4,0,20.2,1,9,Fiber_Cut,Hardware
19.2,0.3,2.0,-15.9,1,1,10.7,0,9,Healthy,
1.6,0.3,1.4,-20.9,1,1,17.4,0,6,Healthy,
22.0,0.3,2.7,-21.0,0,1,31.0,0,7,Healthy,
5.2,0.3,0.7,-18.3,0,1,38.9,0,4,Healthy,
18.3,0.3,0.5,-17.6,2,1,13.4,0,5,Healthy,
