Latency_ms,Packet_Loss_pct,Jitter_ms,Optical_RX_dBm,CRC_Errors,Interface_Status,CPU_Usage_pct,SNMP_Timeout,Hop_Count,Fault_Label,Fault_Category
36.4,2.2,23.0,-22.0,68,1,73.5,0,8,Healthy,
999.0,100.0,5.1,-39.0,68,0,56.8,1,6,Fiber_Cut,Hardware
172.8,12.6,11.5,-27.5,83,1,79.5,1,9,Transport_Failure_MPLS,Software
144.5,3.3,24.1,-23.0,95,1,69.3,0,2,Healthy,
51.8,1.9,5.5,-30.2,245,0,60.1,1,3,OLT_Failure,Hardware
56.0,1.7,12.8,-30.0,141,1,79.1,1,7,OLT_Failure,Hardware
999.0,100.0,10.0,-43.2,50,0,47.0,1,7,Fiber_Cut,Hardware
106.3,2.2,17.0,-26.8,81,1,68.1,0,2,Healthy,
136.4,3.5,8.1,-20.0,46,1,57.7,0,9,Healthy,
89.2,3.0,24.3,-28.2,76,1,62.6,0,2,Healthy,
112.3,1.2,14.7,-23.6,78,1,51.4,0,5,Healthy,
276.9,11.6,15.5,-28.7,50,0,100.0,1,4,Congestion,Software
185.0,7.9,15.7,-23.0,97,1,83.8,1,3,Transport_Failure_MPLS,Software
62.2,3.8,7.5,-25.0,99,1,49.1,0,8,Healthy,
274.3,11.0,21.9,-22.4,57,0,94.4,0,7,Congestion,Software
225.8,4.6,20.9,-22.6,74,1,49.5,0,4,Transport_Failure_MPLS,Software
291.3,10.3,16.1,-24.6,49,1,78.9,1,9,Congestion,Software
132.8,3.2,20.1,-20.5,45,1,50.6,0,2,Healthy,
102.2,3.4,10.5,-24.8,24,1,83.5,0,6,Healthy,
250.2,13.2,16.5,-25.0,48,1,80.6,1,2,Congestion,Software
73.1,2.5,11.0,-27.4,52,1,45.7,0,5,Healthy,
110.5,1.8,12.9,-23.4,74,1,52.9,0,9,Healthy,
73.7,1.5,5.8,-25.7,62,1,56.8,0,5,Healthy,
62.0,2.6,18.9,-22.2,77,1,41.6,0,2,Healthy,
70.9,1.7,11.1,-22.2,59,1,74.7,0,3,Healthy,
142.0,1.0,15.8,-27.2,35,1,52.1,0,7,Healthy,
257.1,11.7,22.3,-21.6,86,1,82.0,1,5,Transport_Failure_MPLS,Software
151.3,5.3,16.2,-28.7,43,1,65.1,0,4,Transport_Failure_MPLS,Software
999.0,100.0,12.9,-36.8,77,0,57.7,1,7,Fiber_Cut,Hardware
289.4,13.1,9.2,-21.1,36,1,73.2,1,8,Congestion,Software
41.4,4.1,12.1,-29.7,143,0,47.6,0,2,OLT_Failure,Hardware
113.3,8.1,15.3,-22.4,60,1,69.1,1,3,Transport_Failure_MPLS,Software
58.4,3.8,16.4,-28.1,28,1,40.6,0,3,Healthy,
68.4,2.2,8.3,-22.2,38,1,45.9,0,7,Healthy,
113.0,3.7,18.8,-28.0,52,1,69.3,0,6,Healthy,
77.8,3.1,19.8,-23.7,59,1,49.2,0,9,Healthy,
223.3,13.7,16.2,-24.7,70,1,76.4,1,8,Transport_Failure_MPLS,Software
237.5,11.1,20.7,-23.4,89,1,76.0,1,3,Congestion,Software
115.3,4.5,9.0,-29.3,51,1,70.1,0,7,Healthy,
147.9,1.1,17.1,-30.0,92,1,57.6,0,7,Healthy,
999.0,100.0,22.0,-44.6,31,0,53.8,0,9,Fiber_Cut,Hardware
999.0,100.0,21.9,-40.8,72,0,79.5,0,4,Fiber_Cut,Hardware
246.8,6.6,7.9,-25.6,41,1,90.1,1,7,Congestion,Software
999.0,100.0,6.4,-37.0,29,0,47.5,1,9,Fiber_Cut,Hardware
115.0,2.3,18.5,-26.0,45,1,40.7,0,3,Healthy,
106.8,3.7,12.7,-28.4,144,1,54.2,1,9,OLT_Failure,Hardware
61.2,4.4,15.7,-26.8,75,1,65.3,0,9,Healthy,
214.6,9.4,20.1,-20.1,15,1,84.1,1,5,Transport_Failure_MPLS,Software
269.4,9.9,16.8,-25.6,23,0,64.3,0,5,Transport_Failure_MPLS,Software
37.8,1.5,14.9,-26.2,65,1,84.0,0,4,Healthy,
63.3,4.1,14.1,-26.3,19,1,40.7,0,3,Healthy,
143.6,4.1,19.7,-28.2,22,1,76.3,0,3,Healthy,
78.6,1.8,6.3,-28.9,55,1,78.0,0,9,Healthy,
999.0,100.0,19.0,-38.4,55,0,51.8,1,5,Fiber_Cut,Hardware
999.0,100.0,11.4,-43.5,70,0,56.0,1,6,Fiber_Cut,Hardware
221.1,14.7,7.1,-24.7,79,0,82.8,0,6,Transport_Failure_MPLS,Software
92.4,1.4,10.2,-20.8,76,1,56.0,0,8,Healthy,
32.3,3.8,19.6,-33.3,216,0,83.8,1,8,OLT_Failure,Hardware
69.8,1.5,7.5,-26.4,75,1,53.1,0,6,Healthy,
236.6,12.2,6.7,-26.7,96,1,54.2,1,5,Transport_Failure_MPLS,Software
38.6,2.6,6.6,-31.4,169,0,52.6,1,3,OLT_Failure,Hardware
